SKU,SKU (C),Season,Category,Category (C),Sub-Category (C),Specs (C),Gender (C),Item,Item (C),Color (C),Design,Design (C),Nombre ropa (C),Color Design,Fabric,Print/Dye,Size,Other,S,M,L,XL,Quantity TOTAL,Quantity Available,Price,Total Value,Photo,Notes,Notes Cami,Status,Photo Comments,Photos Drive Link,Etsy Link,Website Link,Titles GPT,Description,Key words
TOC-ONESIE-BLU-BRY-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Blue Berry,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-BLU-BRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Blue Berry,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-BLU-BRY-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Blue Berry,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-CRL-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Coral,,,,100% Organic Cotton,,3-6 months,,,,,,2,,$18,$36,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-CRL-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Coral,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-GRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Grey,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-GRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Grey,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-GRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Grey,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-GRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Grey,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-SGE-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Sage,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-SGE-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Sage,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DRK-SGE-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Sage,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
